Term,Verdict,Reason,Inventory Feature (or NOT-list item),Popularity,Difficulty,Our Ranking,Source
acompanhar gastos,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,32,OUT,cand
agenda financeira,MISMATCH,Term belongs to a different app category entirely.,n/a — outside the inventory,5,44,OUT,cand
alimentação,MISMATCH,Term belongs to a different app category entirely.,n/a — outside the inventory,27,70,OUT,cand
anotar despesas,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,43,OUT,longtail
anotar gasto,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,33,OUT,cand
anotar gastos,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,51,OUT,cand
análise financeira,FIT,"Pie by category, weekly/daily bars and Month Insights render exactly this.",§1.3 charts + Month Insights,5,40,OUT,cand
app de despesas,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,48,OUT,longtail
app de despesas casal,PARTIAL,"Couple/possessive intent: two people CAN share one Google login and see one list, but there is no partner feature, no per-person view, no split.",Delivers §1.9 shared login only; NOT-list N1/N2,5,13,10,longtail
app de financas para casais,PARTIAL,"Couple/possessive intent: two people CAN share one Google login and see one list, but there is no partner feature, no per-person view, no split.",Delivers §1.9 shared login only; NOT-list N1/N2,5,62,OUT,longtail
app de financas para casal,PARTIAL,"Couple/possessive intent: two people CAN share one Google login and see one list, but there is no partner feature, no per-person view, no split.",Delivers §1.9 shared login only; NOT-list N1/N2,5,5,OUT,longtail
app de gastos,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,58,OUT,longtail
app de gastos casal,PARTIAL,"Couple/possessive intent: two people CAN share one Google login and see one list, but there is no partner feature, no per-person view, no split.",Delivers §1.9 shared login only; NOT-list N1/N2,5,5,4,cand
app de orcamento,FIT,"Monthly budget cap per category plus a total month budget, with progress.",§1.6 budgets/goals,5,48,OUT,longtail
app financeiro,PARTIAL,Polysemous: a plausible expense-tracker reading exists but the SERP pool is partly another intent. Composition-feeder only.,n/a — polysemous,5,58,OUT,cand
app para casais,MISMATCH,Term belongs to a different app category entirely.,n/a — outside the inventory,5,42,OUT,cand
app para dividir contas,MISMATCH,"Searcher wants to split/settle a bill between people; app has no payer, no member, no split, no ""who owes whom"".",NOT-list N1 (no split/settle) + N2 (single userId),5,13,OUT,cand
assinaturas mensais,PARTIAL,"Subscriptions can be logged as recurring expenses, but there is no renewal tracking or alert.",§1.5 recurring; NOT-list N6,5,5,OUT,longtail
