Term,Verdict,Reason,Inventory Feature (or NOT-list item),Popularity,Difficulty,Our Ranking,Source
abo kosten,PARTIAL,"Subscriptions can be logged as recurring expenses, but there is no renewal tracking or alert.",§1.5 recurring; NOT-list N6,5,5,OUT,longtail
ausgaben,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,48,56,122,pool
ausgaben app,PARTIAL,Polysemous: a plausible expense-tracker reading exists but the SERP pool is partly another intent. Composition-feeder only.,n/a — polysemous,5,51,OUT,cand
ausgaben budget,FIT,"Monthly budget cap per category plus a total month budget, with progress.",§1.6 budgets/goals,5,50,172,longtail
ausgaben dokumentieren,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,5,OUT,longtail
ausgaben einfach,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,15,OUT,longtail
ausgaben eintragen,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,5,OUT,cand
ausgaben familie,PARTIAL,Polysemous: a plausible expense-tracker reading exists but the SERP pool is partly another intent. Composition-feeder only.,n/a — polysemous,5,13,OUT,cand
ausgaben im griff,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,11,OUT,cand
ausgaben kategorien,FIT,Expenses are categorised; 14 defaults plus custom categories with icon and colour.,§1.2 categories,5,5,OUT,longtail
ausgaben kontrolle,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,40,214,longtail
ausgaben kostenlos,FIT,"Core logging, charts, calendar and budgets are free; only export and sync are PRO.",§1.11 free core,5,52,137,longtail
ausgaben manager,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,9,59,OUT,cand
ausgaben manager haushaltsbuch,MISMATCH,Brand navigation — searcher is looking for a specific competitor app by name.,n/a — competitor brand,5,57,OUT,longtail
ausgaben notieren,FIT,"Core job: log an expense by hand in seconds, with amount, description, date and category.",§1.1 manual expense logging,5,5,OUT,cand
ausgaben paare,PARTIAL,"Couple/possessive intent: two people CAN share one Google login and see one list, but there is no partner feature, no per-person view, no split.",Delivers §1.9 shared login only; NOT-list N1/N2,5,36,OUT,longtail
ausgaben paare familien,PARTIAL,"Couple/possessive intent: two people CAN share one Google login and see one list, but there is no partner feature, no per-person view, no split.",Delivers §1.9 shared login only; NOT-list N1/N2,5,15,OUT,longtail
ausgaben planer,FIT,"Monthly budget cap per category plus a total month budget, with progress.",§1.6 budgets/goals,5,47,202,longtail
